year_month,Mkt-RF,SMB,HML,RF,MOM,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM,Lo PRIOR,PRIOR 2,PRIOR 3,PRIOR 4,PRIOR 5,PRIOR 6,PRIOR 7,PRIOR 8,PRIOR 9,Hi PRIOR
192708,    1.97,   -0.72,   -3.69,    0.28,   1.14,  11.7732,   3.7427,   0.7960,  -0.8622,   1.3677,   0.9771,  -2.6027,  -1.7730,   0.7080,   5.1792,   0.3843,   2.0226,   2.6592,  -2.6535,  -5.4249,   4.8641,   3.5513,   0.9982,  -2.6278,  -6.3110,   5.5475,   1.2272,   0.4897,   0.8744,   3.9099,  -0.55,   0.37,   1.41,   1.64,   2.40,   1.61,   2.34,   2.56,   0.41,   5.52
192709,    4.76,   -3.57,   -0.71,    0.21,   1.89,  -4.9477,  -6.1671,   0.5161,  -0.4313,   0.6835,   2.7947,   7.9706,   3.3378,   1.4024,  -1.0265,   3.4372,   0.1308,   1.4113,   2.1660,   9.2306,   4.1889,   3.1316,   4.9157,   4.2554,   9.8708,   6.1583,   4.0775,   5.5837,   3.9928,   5.5923,  -0.26,   3.07,   3.31,   4.36,   4.16,   5.11,   4.69,   3.80,   5.73,   7.38
192710,   -4.31,    2.13,   -4.33,    0.25,  -1.08,  -8.8937,  -9.5653,  -2.2257,  -4.3552, -10.1170,   2.3056,  -1.0019,   0.1023,  -3.7709,  -4.3916,  -0.6665,  -1.6297,   0.1021,  -3.9830, -10.0271,   0.5125,  -1.9353,  -2.6703,  -4.7038, -11.7810,  -5.0438,  -2.2322,  -4.1542,  -6.4498, -14.5457,  -6.03,  -3.08,  -1.87,  -3.07,  -3.24,  -3.59,  -3.25,  -5.23,  -5.24,  -6.04
192711,    6.58,    2.76,   -0.31,    0.21,  -0.67,   6.8966,  13.8113,  16.5300,   8.2770,  12.1263,  14.1996,  15.1979,   8.1785,   9.4652,   8.4672,   6.3767,   8.6450,   8.9856,   6.2134,   9.8739,   7.6668,   8.4366,   7.6681,   7.7686,   8.1010,   7.0786,   6.5042,   5.9958,   7.0421,   8.0776,  13.70,   6.06,   5.26,   6.42,   6.00,   5.01,   7.12,   7.79,  10.37,   6.37
192712,    2.09,    0.93,   -1.06,    0.22,   3.15,  -3.9895,   2.5682,   3.8034,   3.4057,   6.9476,   4.9187,   3.7364,   2.3803,   3.4131,  -0.3356,   4.5671,   4.6301,   4.4977,   3.8541,  11.3299,   0.0688,   5.5596,   4.3273,   1.6662,  -2.3196,   2.8565,   1.3058,   1.2653,   2.4490,  10.3769,   4.95,   0.29,   0.55,   4.05,   2.03,   1.12,   1.80,   1.12,   5.19,   5.00
192801,   -0.68,    4.25,   -0.72,    0.25,  -0.60,  -8.2364,  10.1994,   5.0289,   1.6917,   9.9855,   1.3515,   3.8725,   0.3039,   5.2780,   2.2786,   4.8614,   2.7913,   3.8763,   2.2872,  -5.8473,   1.7794,   1.0807,   0.2716,   2.2149,   0.3207,  -1.2721,  -0.2557,  -0.6328,  -1.6406,  -5.0648,  -0.36,  -1.38,  -1.29,  -0.91,   0.23,   0.13,  -0.23,   0.34,  -1.48,  -0.87
192802,   -1.70,   -2.03,   -0.69,    0.33,  -1.09,   0.6463,  -2.9935,   5.7752,   2.8665,  -4.8289,  -5.7780,  -2.0575,  -2.5744,  -1.9696,  -5.6043,  -2.5599,  -1.9367,  -3.0252,  -2.3431,  -6.2804,  -4.7542,  -0.8688,  -2.0537,  -3.0113,  -8.5240,  -0.1501,  -0.6324,  -0.4929,  -2.1203,  -1.3892,  -0.88,  -1.49,  -1.20,  -1.62,  -1.19,  -0.25,  -1.27,  -2.92,  -2.75,   0.21
192803,    8.81,   -0.26,   -1.20,    0.29,   4.87,  40.0538,  -1.1630,   2.0746,  -2.5679,   8.9589,   4.7209,  11.7987,   6.8588,   7.8299,  14.3977,   6.4521,  11.7292,  10.0480,   2.7890,  11.7466,  16.3755,   9.0919,   5.4936,   7.7651,   7.9080,  15.7618,   5.2287,   6.6552,   5.6532,  16.7279,   7.03,   6.86,   6.53,   4.47,   4.12,   7.88,   6.35,   7.20,  20.17,  12.75
192804,    4.23,    3.82,    3.67,    0.22,  -5.65, -12.8663,   8.4567,  17.1059,   2.8104,  15.5896,   0.3536,  23.2107,   3.6931,   4.5551,  10.4199,   7.9350,   4.5180,   7.4813,   4.3032,   6.9890,   5.2402,   4.9500,   2.3826,   4.5398,   3.7146,   1.4240,   6.8040,   6.6218,   2.7700,   3.3096,   7.50,   7.57,  13.21,   6.86,   4.11,   4.49,   1.16,   2.96,   1.27,   3.73
192805,    1.52,    2.98,   -3.46,    0.32,   2.85,  17.7179,   0.3515,   4.3676,  14.6379,   5.7369,   2.0846,   3.8072,   5.5440,   5.8186,   3.2917,   2.7653,   6.8507,   1.6906,  -1.9153,  -3.1876,   5.3993,  -0.3854,   1.1098,   1.1637,   2.1587,   2.0904,   2.1380,  -0.5398,   1.2095,  -3.8808,   3.83,   1.89,  -2.81,  -0.87,   1.34,   0.99,   2.75,   0.65,   3.19,   5.16
192806,   -4.85,   -3.50,   -0.06,    0.31,   2.05, -19.2709,  -7.4184, -13.2701,  -9.2805,  -9.4437,  -5.7393,  -9.2721,  -8.6130,  -7.4790,  -6.1054,  -6.4146,  -4.6534,  -7.4309,  -7.0294,  -6.8830,  -7.1399,  -5.5156,  -3.4289,  -5.7935,  -5.8891,  -3.0501,  -3.6311,  -3.5131,  -4.8622,  -9.1120,  -8.13,  -8.55,  -3.82,  -3.98,  -4.04,  -3.47,  -5.62,  -5.08,  -4.32,  -3.54
192807,    0.62,   -1.35,   -0.47,    0.32,   2.82,  -2.0217,   3.5783,   5.3781,   2.0360,  -0.3159,   1.0836,  -3.7660,  -1.2704,   0.7975,  -2.6328,  -0.1175,  -0.3073,  -0.6790,   0.3334,   1.4810,   0.8287,  -0.6082,   1.3260,   1.5005,   0.8680,   1.5815,   0.2324,   0.1677,   0.2981,   0.7709,  -3.17,   1.28,  -0.60,   0.24,   1.23,   0.85,   0.48,  -0.01,   2.50,   2.18
192808,    6.68,   -2.07,   -2.11,    0.32,   3.69,   7.5257,   0.5454,   4.1219,   2.1206,   3.5138,   6.8023,   3.8248,   3.9212,   3.2564,   5.0486,   5.3797,   9.0259,   8.4449,   4.1657,   8.0357,  10.1565,   8.1583,   6.4443,   7.8532,   7.7317,   8.6838,   6.5887,   5.2701,   4.4373,   4.9839,   7.28,   3.34,   3.80,   4.66,   6.36,   6.57,   7.33,  10.63,  11.01,   8.79
192809,    2.88,    2.33,    0.99,    0.27,   3.64,   3.7129,   3.1614,   1.9913,  -0.2092,  13.4251,   3.1124,   2.6504,   5.7104,   5.0156,  13.0384,   4.2094,   4.7312,   5.4875,   6.4449,   2.8381,   5.8720,   6.4645,   2.9592,   3.0408,   5.9184,   2.7157,   1.0239,   2.2561,   0.5861,   6.9590,   1.40,   4.95,   0.43,   1.20,   0.44,   4.22,   4.50,   4.15,   6.36,   5.50
192810,    1.33,    2.27,   -2.26,    0.41,   5.05,  -3.9425,  -3.8706,   4.3844,   3.7426,   6.4494,   4.9618,   3.0676,   2.1927,   1.3937,   0.6282,   5.5807,   4.9745,   2.6200,   0.2244,  -1.7486,   0.7367,  -1.0220,  -1.7468,   4.7413,  -3.6579,   1.5307,   2.9072,   1.3468,  -0.3684,   4.7495,  -3.76,  -1.05,   1.98,   0.03,   0.88,   1.45,   0.73,   5.12,   1.58,   7.30
192811,   11.81,   -1.81,    2.80,    0.38,   2.12,   3.8603,  30.1944,   7.7079,  16.7282,  12.7121,   6.6986,   7.8768,  10.5233,  13.4891,   8.9905,   8.7142,  11.3499,  18.7077,  13.5730,  15.9620,  11.1748,  11.8047,   9.7497,   7.7142,  14.2633,  11.5523,  10.4470,  16.0161,   9.1268,  17.8916,   7.57,   8.06,   9.50,  11.11,  11.45,  10.62,  18.46,  10.61,   6.00,  24.36
192812,    0.36,   -0.85,   -0.60,    0.06,   1.78,  -5.4317,  -7.6129,  -5.4498,  -2.4336,  -1.7584,  -2.0855,  -2.6779,  -0.4664,  -4.1034,   0.6437,   3.7311,  -0.1130,   1.0567,   1.3172,  -0.0004,   3.1308,   3.7035,   0.3174,   1.8959,  -3.3414,   0.5488,   1.1329,  -1.0390,   1.2815,   0.3681,  -3.13,  -1.11,  -0.23,  -0.26,  -0.60,  -1.82,   2.04,   3.42,   0.50,   2.17
192901,    4.66,   -3.54,   -1.21,    0.34,   2.43,   2.9249,   8.2497,  -4.6113,   5.9949,   5.0850,   3.0510,   1.4272,   1.7342,  -0.2831,   0.4178,   1.4615,   4.7587,  -4.7563,   3.8886,   2.0000,   4.6353,   4.8862,   3.7195,   1.2154,   1.1437,   6.5712,  10.2483,   2.3079,   4.9558,   0.0249,   5.16,   1.81,   3.28,   5.65,   6.18,   2.85,   4.77,   8.60,   6.66,  -2.82
